threadId,duration
485,-2
278,-2
488,-2
494,-2
497,-2
498,-2
500,-2
358,-2
360,-2
255,-2
265,-2
380,-2
394,-2
49,-2
252,-2
249,-2
260,-2
396,-2
398,-2
403,-2
405,-2
407,-2
439,-2
441,-2
443,-2
448,-2
450,-2
452,-2
58,-2
453,-2
503,-2
61,-2
191,-2
218,-2
226,-2
263,-2
44,-2
266,-2
25,-2
251,-2
51,-2
267,-2
268,-2
262,-2
250,-2
253,-2
261,-2
38,-2
259,-2
270,-2
269,-2
258,-2
27,-2
46,-2
227,-2
228,-2
230,-2
231,-2
232,-2
271,-2
272,-2
274,-2
277,-2
279,-2
304,-2
305,-2
306,-2
309,-2
310,-2
311,-2
312,-2
324,-2
348,-2
349,-2
350,-2
352,-2
354,-2
42,-2
47,-2
256,-2
28,-2
254,-2
264,-2
59,-2
57,-2
67,-2
40,-2
257,-2
84,-2
356,-2
16,-2
35,-2
26,-2
36,-2
50,-2
18,-2
34,-2
20,-2
43,-2
21,-2
332,-2
479,-2
460,-2
501,-2
362,-2
455,-2
343,-2
222,-2
486,-2
202,-2
508,-2
301,-2
282,-2
470,-2
391,-2
421,-2
214,-2
478,-2
506,-2
511,-2
186,-2
247,-2
284,-2
473,-2
215,-2
87,-2
88,-2
89,-2
96,-2
77,-2
86,-2
85,-2
78,-2
90,-2
241,-2
91,-2
92,-2
93,-2
425,-2
31,-2
