threadId,duration,endTimeStamp,iteration
254,319,714,1
1172,476,810,1
428,737,1002,1
392,739,1003,1
415,738,1003,1
236,740,1003,1
259,767,1010,1
277,766,1010,1
191,748,1011,1
60,776,1012,1
257,770,1012,1
323,763,1013,1
466,743,1013,1
73,778,1014,1
221,768,1016,1
351,768,1016,1
256,774,1017,1
641,740,1018,1
570,744,1019,1
287,771,1019,1
630,741,1020,1
260,773,1020,1
144,775,1020,1
266,778,1022,1
228,781,1023,1
45,784,1023,1
372,752,1024,1
285,780,1024,1
51,778,1026,1
268,770,1027,1
453,745,1029,1
31,783,1030,1
435,745,1030,1
314,783,1030,1
676,749,1031,1
705,748,1031,1
303,782,1032,1
292,783,1033,1
508,757,1034,1
521,756,1035,1
623,751,1035,1
581,752,1036,1
309,781,1036,1
663,747,1038,1
670,746,1039,1
649,747,1039,1
318,780,1040,1
554,753,1040,1
363,778,1040,1
312,779,1041,1
691,742,1041,1
490,754,1041,1
422,759,1042,1
477,754,1042,1
273,780,1042,1
258,779,1042,1
603,745,1043,1
336,774,1043,1
281,776,1043,1
49,786,1043,1
264,778,1044,1
283,775,1044,1
41,784,1046,1
255,777,1046,1
626,741,1046,1
564,744,1047,1
574,744,1047,1
685,737,1047,1
296,772,1048,1
644,739,1048,1
249,776,1049,1
294,771,1049,1
295,770,1049,1
539,743,1050,1
284,771,1050,1
269,772,1050,1
329,769,1051,1
587,741,1051,1
326,792,1051,1
754,752,1051,1
836,749,1052,1
780,750,1053,1
322,792,1053,1
324,791,1054,1
795,749,1054,1
747,751,1054,1
316,789,1054,1
709,753,1055,1
734,751,1055,1
773,746,1055,1
718,749,1055,1
333,836,1084,1
339,837,1084,1
331,837,1085,1
263,843,1086,1
349,836,1086,1
210,846,1087,1
164,848,1088,1
354,838,1096,1
819,808,1097,1
352,838,1098,1
334,838,1099,1
892,789,1100,1
350,837,1101,1
362,836,1102,1
337,837,1103,1
342,836,1104,1
338,856,1105,1
1040,786,1106,1
367,858,1107,1
223,867,1108,1
107,871,1109,1
1011,789,1109,1
1219,775,1110,1
975,795,1110,1
1134,780,1111,1
933,809,1111,1
52,874,1112,1
346,853,1112,1
357,852,1113,1
970,792,1114,1
356,849,1115,1
162,877,1116,1
265,854,1116,1
98,859,1117,1
827,807,1117,1
183,856,1118,1
63,860,1118,1
915,796,1119,1
1184,762,1119,1
914,796,1120,1
945,792,1120,1
1159,762,1120,1
110,856,1121,1
135,855,1121,1
369,842,1122,1
153,854,1122,1
171,853,1122,1
119,855,1122,1
125,855,1123,1
128,854,1123,1
95,855,1123,1
370,838,1123,1
80,857,1123,1
21,867,1123,1
366,845,1124,1
181,852,1124,1
97,854,1124,1
1068,770,1124,1
866,799,1124,1
79,856,1125,1
43,866,1125,1
129,852,1125,1
166,851,1125,1
132,852,1125,1
53,855,1126,1
165,852,1126,1
116,853,1126,1
1075,767,1126,1
979,782,1126,1
361,842,1126,1
152,851,1127,1
1007,778,1127,1
92,853,1127,1
217,849,1127,1
347,843,1127,1
168,850,1127,1
368,840,1128,1
176,850,1128,1
1172,280,1128,2
1016,777,1128,1
180,849,1128,1
985,780,1129,1
340,840,1129,1
358,839,1129,1
335,840,1129,1
832,798,1129,1
127,878,1130,1
137,878,1130,1
77,882,1130,1
138,878,1131,1
1035,801,1131,1
1086,793,1131,1
1164,785,1131,1
106,879,1132,1
1194,783,1132,1
130,877,1132,1
231,874,1132,1
76,879,1133,1
1070,793,1133,1
1038,798,1133,1
222,873,1133,1
1034,798,1133,1
1050,795,1134,1
253,871,1134,1
146,874,1134,1
211,872,1134,1
252,871,1135,1
69,878,1135,1
112,875,1135,1
64,876,1135,1
1049,793,1136,1
359,864,1136,1
156,872,1136,1
24,875,1136,1
175,870,1136,1
233,869,1137,1
1198,775,1137,1
325,863,1137,1
143,870,1137,1
1129,779,1138,1
113,871,1138,1
47,881,1138,1
932,805,1139,1
174,867,1139,1
360,859,1139,1
20,881,1139,1
58,880,1140,1
72,871,1140,1
943,803,1140,1
185,865,1140,1
216,865,1140,1
871,794,1141,1
344,844,1141,1
102,853,1141,1
48,867,1141,1
365,857,1141,1
161,866,1142,1
1123,763,1142,1
348,846,1142,1
61,858,1142,1
1147,762,1142,1
207,853,1143,1
846,804,1143,1
243,853,1143,1
220,863,1143,1
345,849,1143,1
355,848,1144,1
42,874,1144,1
93,865,1144,1
1233,839,1176,1
86,938,1177,1
22,950,1178,1
1271,839,1178,1
1288,838,1178,1
1263,838,1179,1
1470,832,1180,1
1308,841,1180,1
1402,837,1181,1
75,941,1182,1
89,945,1183,1
1363,835,1183,1
173,943,1183,1
151,938,1184,1
1260,840,1186,1
160,944,1186,1
1397,837,1187,1
109,944,1187,1
1301,838,1188,1
1428,837,1188,1
104,950,1188,1
101,948,1189,1
96,939,1189,1
1245,839,1190,1
1256,840,1191,1
1497,842,1191,1
148,933,1192,1
82,955,1193,1
187,950,1193,1
115,952,1194,1
203,950,1194,1
147,950,1194,1
37,953,1194,1
159,949,1195,1
55,959,1195,1
172,945,1195,1
186,945,1196,1
182,945,1196,1
188,948,1196,1
88,951,1196,1
246,946,1197,1
163,949,1197,1
108,949,1198,1
205,947,1198,1
184,946,1198,1
158,947,1198,1
202,943,1200,1
67,965,1201,1
38,958,1201,1
1465,837,1202,1
1439,839,1204,1
371,925,1208,1
613,932,1208,1
194,944,1209,1
311,963,1209,1
702,927,1209,1
675,928,1209,1
694,923,1210,1
297,964,1210,1
46,946,1210,1
1458,838,1210,1
704,928,1211,1
195,947,1211,1
34,959,1211,1
723,924,1211,1
1489,836,1212,1
1454,835,1212,1
1478,833,1213,1
192,944,1213,1
136,945,1213,1
1447,837,1214,1
688,933,1215,1
1338,840,1216,1
103,945,1216,1
30,955,1217,1
1347,840,1217,1
1414,835,1217,1
740,934,1219,1
738,935,1220,1
1385,838,1222,1
1422,836,1222,1
87,941,1223,1
714,937,1223,1
746,934,1224,1
381,955,1225,1
642,935,1225,1
744,931,1226,1
384,953,1226,1
741,929,1226,1
700,931,1226,1
374,952,1227,1
616,936,1227,1
189,951,1228,1
380,950,1229,1
