Name,Actual num of thr started,Threads successfully requested,Threads success rate (%),Error Rate (%),Throughput,Mean,Median,Standard Deviation,Error Count,Success Count
aus-1750thr,1750,1379,78.8,28.693228398098046,69.72512141453915,506.3254771211773,253.0,530.0486481991771,3500,8698
aus-1000thr,1000,1000,100.0,0.0,3811.4190475232376,257.88114402442585,246.0,179.99436016221833,,
aus-500thr,500,500,100.0,0.0,1974.2733469126238,252.13968424995687,245.0,124.41545396109726,,
aus-1500thr,1500,1471,98.06666666666666,0.18055054026277048,295.4097868318671,4893.426118655388,1646.0,7331.618457149834,65,35936
aus-2000thr,2000,1133,56.65,13.328458419198297,146.16433392384448,2354.8594109526002,251.0,9198.428846879582,4010,26076
aus-100thr,100,100,100.0,0.0,338.2765110931752,291.1319097640778,300.0,55.69516853698039,,
aus-1200thr,1200,1200,100.0,0.0,4406.451923720898,259.38845023905264,248.0,63.00218449190701,,
