Name,Actual num of thr started,Threads successfully requested,Threads success rate (%),Error Rate (%),Throughput,Mean,Median,Standard Deviation
bra-500thr,500,500,100.0,0.0,2411.994936162461,202.2294621165523,199.0,38.97114836991955
local-500thr,500,500,100.0,0.0,13184.856291714306,23.803755953879875,21.0,10.532203695230226
bra-local-500thr-each,1000,1000,100.0,0.0,15544.61201419824,51.48935526973866,22.0,67.10220036031637
bra-500thr-alone,500,500,100.0,0.0,2349.9061061745333,203.4291668576708,199.0,42.806781648866014
local-500thr-alone,500,500,100.0,0.0,12857.796609510628,26.57678782291645,21.0,23.094072925899702
