Name,Actual num of thr started,Threads successfully requested,Threads success rate (%),Error Rate (%),Throughput,Mean,Median,Standard Deviation
bra-250thr,250,250,100.0,0.0,1241.8104441334904,199.72075201456374,198.0,25.77981440943719
local-250thr,250,250,100.0,0.0,11254.500521173459,19.815592955986382,18.0,13.052982895558149
bra-local-250thr-each,500,500,100.0,0.0,12475.045271741823,37.72399333498115,19.0,55.86305547183028
bra-250thr-alone,250,250,100.0,0.0,1242.045732295879,199.86830361623123,198.0,25.02628304326063
local-250thr-alone,250,250,100.0,0.0,11944.502253821789,18.47782039912545,18.0,3.985942698592397
